condition,trial,Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
short,no-go,cemal,0,0,0,47,,,,,18.518339700065553,None,30.56198290013708,31.262552400119603,space,0.7880045999772847,30.56198290013708,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,widnow,0,1,1,35,,,,,,,32.39746480016038,None,space,0.5666101998649538,32.39746480016038,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,parent,0,2,2,6,,,,,,,33.98230740008876,None,space,0.5281930000055581,33.98230740008876,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,drug,0,3,3,5,,,,,,,35.534138000104576,36.234822400147095,None,,35.534138000104576,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,imapct,0,4,4,44,,,,,,,38.23694119998254,None,space,0.6200953000225127,38.23694119998254,37.24102950002998,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,yahct,0,5,5,31,,,,,,,39.88896879996173,None,space,0.47168270009569824,39.88896879996173,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,fruit,0,6,6,1,,,,,,,41.390527500072494,42.09127370011993,None,,41.390527500072494,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,dagner,0,7,7,33,,,,,,,44.09329119999893,44.794258600100875,space,0.7862334998790175,44.09329119999893,43.096250700065866,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,kindey,0,8,8,49,,,,,,,45.89552290015854,46.596236400073394,None,,45.89552290015854,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,mililon,0,9,9,40,,,,,,,48.59822900011204,49.29929620004259,space,0.7566163998562843,48.59822900011204,47.601178999990225,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,pilgrim,0,10,10,24,,,,,,,50.367218300001696,51.06779330014251,None,,50.367218300001696,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,paerl,0,11,11,29,,,,,,,53.06998440017924,None,space,0.4887175001204014,53.06998440017924,52.072527300100774,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,hasmter,0,12,12,48,,,,,,,54.58846120000817,None,space,0.522463500034064,54.58846120000817,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,go,accent,0,13,13,0,,,,,,,56.14022890012711,56.8408691000659,None,,56.14022890012711,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,affiar,0,14,14,25,,,,,,,58.84301190008409,59.543902500066906,space,0.772182899992913,58.84301190008409,57.847125499974936,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
short,no-go,wolrd,0,15,15,45,,,,,,,60.64504780014977,None,space,0.546135599957779,60.64504780014977,None,3,001,2021_Dec_01_1438,experiment,2021.2.3,59.95746617070348,
