condition,trial,Word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
short,go,bottom,0,0,0,7,,,,,27.619921100093052,None,39.6550974000711,40.355906900018454,None,39.6550974000711,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,touch,0,1,1,18,,,,,,,42.29133790009655,42.99199050012976,None,42.29133790009655,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,donkey,0,2,2,19,,,,,,,45.011158500099555,45.71162660000846,None,45.011158500099555,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,oirgin,0,3,3,39,,,,,,,47.68053580005653,48.381248800083995,None,47.68053580005653,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,napkin,0,4,4,12,,,,,,,50.38362199999392,51.08442860003561,None,50.38362199999392,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,drug,0,5,5,5,,,,,,,53.08662270009518,53.78735520015471,None,53.08662270009518,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,dagner,0,6,6,33,,,,,,,55.789612900000066,56.49020870006643,space,55.789612900000066,None,0.714369400171563,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,abverb,0,7,7,46,,,,,,,57.54166000010446,58.24217770015821,None,57.54166000010446,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,wolrd,0,8,8,45,,,,,,,60.24435520009138,60.945158699993044,space,60.24435520009138,59.25438110018149,0.7322350000031292,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,fruit,0,9,9,1,,,,,,,61.996453600004315,None,space,61.996453600004315,None,0.6076380000449717,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,muoth,0,10,10,43,,,,,,,63.63171430001967,64.33234350010753,space,63.63171430001967,None,0.8688577001448721,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,elf,0,11,11,11,,,,,,,65.51680500013754,66.21761120017618,None,65.51680500013754,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,card,0,12,12,20,,,,,,,68.21994850016199,68.92048260010779,None,68.21994850016199,67.2198306999635,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,memory,0,13,13,2,,,,,,,70.92294840002432,71.62357100006193,None,70.92294840002432,69.9248707999941,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,heant,0,14,14,38,,,,,,,73.62584850005805,None,space,73.62584850005805,72.62779289996251,0.6747449999675155,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,land,0,15,15,23,,,,,,,75.32781439996324,76.02845340012573,None,75.32781439996324,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,cemal,0,16,16,47,,,,,,,78.03076470014639,78.73159540002234,space,78.03076470014639,77.0387451001443,0.8785165001172572,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,sister,0,17,17,10,,,,,,,79.93284879997373,80.63366050017066,None,79.93284879997373,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,noiton,0,18,18,28,,,,,,,82.6359325000085,83.33644340001047,space,82.6359325000085,81.63780650007538,0.975382599979639,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,affiar,0,19,19,25,,,,,,,84.63802040019073,85.3388108999934,None,84.63802040019073,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,beach,0,20,20,9,,,,,,,87.34105759998783,None,space,87.34105759998783,86.34352610004134,0.6048391999211162,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,scale,0,21,21,8,,,,,,,88.97606180002913,89.67668100004084,None,88.97606180002913,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,mililon,0,22,22,40,,,,,,,91.67921230010688,92.37953390018083,None,91.67921230010688,90.68547710007988,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,legnth,0,23,23,36,,,,,,,94.38224519998766,95.08288110001013,space,94.38224519998766,93.38285840000026,1.1523080999031663,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,decay,0,24,24,4,,,,,,,96.5511400999967,97.25192379998043,None,96.5511400999967,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,dentist,0,25,25,16,,,,,,,99.25416290014982,99.95497920014895,None,99.25416290014982,98.25753540010192,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,parent,0,26,26,6,,,,,,,101.9571524001658,None,space,101.9571524001658,100.9606064001564,0.5990271000191569,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,review,0,27,27,13,,,,,,,103.55894340015948,104.25943390000612,None,103.55894340015948,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,widnow,0,28,28,35,,,,,,,106.26184050017036,106.96255280007608,space,106.26184050017036,105.26441140007228,0.7581857000477612,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,expret,0,29,29,34,,,,,,,108.06369990017265,108.7647723001428,space,108.06369990017265,None,1.2310620001517236,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,obiect,0,30,30,27,,,,,,,110.31645280006342,111.0171735000331,space,110.31645280006342,None,0.689766600029543,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,crown,0,31,31,21,,,,,,,112.01828750013374,112.71915280004032,None,112.01828750013374,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,yahct,0,32,32,31,,,,,,,114.7211148000788,115.42199160018936,None,114.7211148000788,113.72419019998051,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,jaens,0,33,33,37,,,,,,,117.42404179996811,None,space,117.42404179996811,116.4318042001687,0.6416708000469953,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,imapct,0,34,34,44,,,,,,,119.09269109996967,119.79336590017192,space,119.09269109996967,None,0.9307148999068886,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,quake,0,35,35,3,,,,,,,121.044920100132,121.74542180006392,None,121.044920100132,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,paerl,0,36,36,29,,,,,,,123.74788480019197,None,space,123.74788480019197,122.74851890001446,0.6328992999624461,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,ouftit,0,37,37,41,,,,,,,125.38288300018758,126.08366420003586,space,125.38288300018758,None,0.8650195000227541,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,sesnor,0,38,38,32,,,,,,,127.26828530011699,127.96896820003167,space,127.26828530011699,None,0.7001799999270588,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,hasmter,0,39,39,48,,,,,,,128.98700950015336,129.68769990000874,space,128.98700950015336,None,0.735526799922809,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,accent,0,40,40,0,,,,,,,130.75553500000387,131.45638120011427,None,130.75553500000387,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,pilgrim,0,41,41,24,,,,,,,133.45859960000962,None,space,133.45859960000962,132.46344620012678,0.6018666001036763,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,horror,0,42,42,15,,,,,,,135.07691709999926,135.77780909999274,None,135.07691709999926,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,blause,0,43,43,30,,,,,,,137.78008230007254,138.48090409999713,None,137.78008230007254,136.78449590015225,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,kindey,0,44,44,49,,,,,,,140.48300520004705,141.1838049001526,space,140.48300520004705,139.4836309000384,1.0039405999705195,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,fight,0,45,45,22,,,,,,,142.51854670001194,143.21931770001538,None,142.51854670001194,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,rythm,0,46,46,42,,,,,,,145.2214073999785,145.92233720002696,None,145.2214073999785,144.22340360004455,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,clinic,0,47,47,17,,,,,,,147.9244377000723,148.62533290009014,None,147.9244377000723,146.9283539999742,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,no-go,beleif,0,48,48,26,,,,,,,150.62748470017686,151.3281186001841,None,150.62748470017686,149.63177089998499,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
short,go,peak,0,49,49,14,,,,,,,153.33045989996754,154.03106000018306,None,153.33045989996754,152.33044470008463,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
long,no-go,documneatry,,,,,0,0,0,28,,,156.1002337001264,156.80072990013286,space,156.1002337001264,155.09965750016272,1.0674147999379784,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
long,go,commentary,,,,,0,1,1,13,,,158.20243229996413,158.9031699001789,None,158.20243229996413,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
long,go,experience,,,,,0,2,2,17,,,160.9054562000092,161.60632780008018,None,160.9054562000092,159.90965680009685,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
long,no-go,imimgration,,,,,0,3,3,40,,,163.60850680014119,164.30908840009943,space,163.60850680014119,162.61235609999858,1.368678200058639,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
long,go,professor,,,,,0,4,4,21,,,166.01123090018518,166.71191340009682,None,166.01123090018518,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
long,no-go,terrirost,,,,,0,5,5,39,,,168.71391090005636,169.41480290004984,space,168.71391090005636,167.72242820006795,0.9065090999938548,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
long,no-go,trasntcipt,,,,,0,6,6,46,,,170.649724900024,171.3503646000754,space,170.649724900024,None,1.4100043000653386,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
long,no-go,alcholic,,,,,0,7,7,32,,,173.0856343000196,173.7863821000792,None,173.0856343000196,None,,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
long,no-go,photgoaph,,,,,0,8,8,45,,,175.7719405000098,176.4724200000055,space,175.7719405000098,174.79394710017368,0.9655182999558747,Vadim,001,2021_Dec_11_2310,experiment,2021.2.3,59.89741972070048,
